Genus,Species,Brain mass (g),Body mass (g)
Scotophilus,dinganii,0.4385,24.3
Phyllostomus,discolor,0.89,33
Microgale,dobsoni,0.56,32.6
Gazella,dorcas,81.6,12170
Gazella,dorcas,66,15000
Gazella,dorcas,69,16000
Gazella,dorcas,68,16700
Gazella,dorcas,68,18400
Gazella,dorcas,81,19000
Pipistrellus,dormeri,0.143,6.8
Cephalophus,dorsalis,93,13000
Tamias,dorsalis,1.98,62.2
Erethizon,dorsatus,24.6,5397
Erethizon,dorsatus,24,6640
Camelus,dromedarius,762,400000
Diphylla,ecaudata,0.8015,31.05
Tenrec,ecaudatus,2.57,832
Tenrec,ecaudatus,3.1,982
Megaerops,ecaudatus,0.82233,24.67
Malacomys,edwardsi,1.18,60
Spalax,ehrenbergi,0.51,50
Spalax,ehrenbergi,1.88,197
Cervus,elaphus,229,73500
Cervus,elaphus,365,117000
Cervus,elaphus,411,125530
Cervus,elaphus,409.3,200000
Petaurista,elegans,7.76,924
Kobus,ellipsiprymnus,323,221000
Kobus,ellipsiprymnus,309,225000
Kobus,ellipsiprymnus,325,230000
Kobus,ellipsiprymnus,290,188200
Kobus,ellipsiprymnus,303,225000
Kobus,ellipsiprymnus,323,225000
Kobus,ellipsiprymnus,325,230000
Phyllostomus,elongatus,0.885,44.9
Rhinolophus,eloquens,0.4045,19.05
Semnopithecus,entellus,117,6647
Semnopithecus,entellus,111.5,7010
Hippotragus,equinus,395,215000
Hippotragus,equinus,397,225000
Hippotragus,equinus,395,240000
Hippotragus,equinus,364,245000
Hippotragus,equinus,405,220000
Hippotragus,equinus,403,232000
Hippotragus,equinus,403,235000
Hippotragus,equinus,363,250000
Hippotragus,equinus,363,250000
Hippotragus,equinus,381,280000
Hippotragus,equinus,381,280000
Peromyscus,eremicus,0.54,19.93
Mustela,erminea,5.2,400
Mustela,erminea,5.4,525
Mustela,erminea,5.3,450
Mustela,erminea,4.6,450
Mustela,erminea,3.47,121
Mustela,erminea,5.64,169.3
Mustela,erminea,4.6,179
Xerus,erythropus,6.68,722.5
Suncus,etruscus,0.08,2.2
Suncus,etruscus,0.062,2.28
Talpa,europaea,1.02,76
Talpa,europaea,1.5,77
Talpa,europaea,1.69,80.5
Mesoplodon,europaeus,2149,732000
Erinaceus,europaeus,3.23,453
Erinaceus,europaeus,2.26,372
Erinaceus,europaeus,3.5,448
Erinaceus,europaeus,3,497.8
Erinaceus,europaeus,3.5,515
Erinaceus,europaeus,3.6,669
Erinaceus,europaeus,3,690
Erinaceus,europaeus,3.77,697
Erinaceus,europaeus,6.5,718
Erinaceus,europaeus,3.35,860
Erinaceus,europaeus,3.5,918
Erinaceus,europaeus,3.5,920
Erinaceus,europaeus,3.3,925
Erinaceus,europaeus,3.3,985
Lepus,europaeus,14.35,1954
Lepus,europaeus,13.3,2850
Tragelaphus,eurycerus,389,253000
Tragelaphus,eurycerus,379,210000
Urogale,everetti,4.28,275
Rattus,exulans,0.89,60.3
Macaca,fascicularis,61.9,3360
Macaca,fascicularis,69.7,4310
Macaca,fascicularis,70,4740
Macaca,fascicularis,66,1210
Macaca,fascicularis,73.9,1425
Macaca,fascicularis,62.3,1980
Macaca,fascicularis,75.7,2050
Macaca,fascicularis,53.7,2490
Macaca,fascicularis,79,4035
Macaca,fascicularis,56,4302
Macaca,fascicularis,68,4302
Rhinolophus,ferrumequinum,0.35,23.5
Castor,fiber,45,25000
Eptesicus,flavescens,0.19,10.5
Apodemus,flavicollis,0.7,32.3
Marmota,flaviventris,10.29,5000
Lophuromys,flavopunctatus,1.01,60
Potos,flavus,35.1,1863
Potos,flavus,31.05,2620
Potos,flavus,31.2,1970
Perognathus,flavus,0.3,8.8
Neotoma,floridana,3.04,257.7
